songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,E_High,E_Avg,E_Low,A_High,A_Avg,A_Low,C_High,C_Avg,C_Low,N_High,N_Avg,N_Low,O_High,O_Avg,O_Low,userTotal
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,89,0.706,0.691,0.0584,6.99e-05,0.0232,0.632,"pop, rock",0.5476190476190477,0.23809523809523808,0.21428571428571427,0.47619047619047616,0.42857142857142855,0.09523809523809523,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.30952380952380953,0.4523809523809524,0.23809523809523808,0.30952380952380953,0.21428571428571427,0.47619047619047616,42
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,99,0.701,0.76,0.107,6.54e-05,0.185,0.69,pop,0.5,0.30303030303030304,0.19696969696969696,0.3484848484848485,0.45454545454545453,0.19696969696969696,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.2878787878787879,0.4696969696969697,0.24242424242424243,0.3181818181818182,0.18181818181818182,0.5,66
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,91,0.52,0.731,0.342,0.00101,0.311,0.662,"pop, rock, indie",0.4925373134328358,0.23880597014925373,0.26865671641791045,0.3283582089552239,0.5074626865671642,0.16417910447761194,0.3880597014925373,0.373134328358209,0.23880597014925373,0.3283582089552239,0.3880597014925373,0.2835820895522388,0.3880597014925373,0.23880597014925373,0.373134328358209,67
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC,86,0.645,0.646,0.0615,3.04e-05,0.074,0.295,pop,0.5576923076923077,0.25,0.19230769230769232,0.36538461538461536,0.4423076923076923,0.19230769230769232,0.4230769230769231,0.3076923076923077,0.2692307692307692,0.3076923076923077,0.4230769230769231,0.2692307692307692,0.34615384615384615,0.25,0.40384615384615385,52
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,89,0.749,0.729,0.261,0.0,0.113,0.816,pop,0.5882352941176471,0.20588235294117646,0.20588235294117646,0.3235294117647059,0.5,0.17647058823529413,0.4411764705882353,0.29411764705882354,0.2647058823529412,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.14705882352941177,0.5,34
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,96,0.898,0.472,0.0107,0.0,0.141,0.214,rap,0.4222222222222222,0.3111111111111111,0.26666666666666666,0.28888888888888886,0.4888888888888889,0.2222222222222222,0.37777777777777777,0.4222222222222222,0.2,0.26666666666666666,0.4222222222222222,0.3111111111111111,0.3111111111111111,0.15555555555555556,0.5333333333333333,45
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Drake,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,82,0.598,0.696,0.0153,0.0,0.219,0.209,rap,0.5625,0.375,0.0625,0.4375,0.375,0.1875,0.25,0.5625,0.1875,0.125,0.5625,0.3125,0.375,0.125,0.5,16
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,84,0.721,0.707,0.181,3.68e-06,0.143,0.743,"indie, pop, rap",0.5238095238095238,0.23809523809523808,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.23809523809523808,0.3333333333333333,21
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,84,0.79,0.647,0.0515,0.0,0.248,0.654,"rap, pop, soul, rock",0.5151515151515151,0.2727272727272727,0.21212121212121213,0.30303030303030304,0.5454545454545454,0.15151515151515152,0.42424242424242425,0.3333333333333333,0.24242424242424243,0.21212121212121213,0.42424242424242425,0.36363636363636365,0.2727272727272727,0.30303030303030304,0.42424242424242425,33
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC,81,0.899,0.713,0.255,0.0,0.0708,0.777,"rap, pop, indie, rock",0.5277777777777778,0.2222222222222222,0.25,0.3333333333333333,0.5,0.16666666666666666,0.3611111111111111,0.4166666666666667,0.2222222222222222,0.25,0.3888888888888889,0.3611111111111111,0.3055555555555556,0.2222222222222222,0.4722222222222222,36
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,86,0.82,0.452,0.543,0.00294,0.0714,0.74,"rock, pop, indie",0.4166666666666667,0.3541666666666667,0.22916666666666666,0.2916666666666667,0.5416666666666666,0.16666666666666666,0.4791666666666667,0.3125,0.20833333333333334,0.3125,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.20833333333333334,0.4583333333333333,48
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,85,0.743,0.446,0.0039,0.118,0.337,0.278,"rock, indie, pop, metal",0.4117647058823529,0.3235294117647059,0.2647058823529412,0.35294117647058826,0.4411764705882353,0.20588235294117646,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.4117647058823529,34
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,85,0.574,0.913,0.061,0.00158,0.156,0.423,"rock, metal",0.36585365853658536,0.3902439024390244,0.24390243902439024,0.4146341463414634,0.4146341463414634,0.17073170731707318,0.36585365853658536,0.3902439024390244,0.24390243902439024,0.3170731707317073,0.34146341463414637,0.34146341463414637,0.43902439024390244,0.17073170731707318,0.3902439024390244,41
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,86,0.352,0.911,0.00121,0.0,0.0995,0.236,"rock, indie, pop",0.4838709677419355,0.25806451612903225,0.25806451612903225,0.3225806451612903,0.41935483870967744,0.25806451612903225,0.3870967741935484,0.41935483870967744,0.1935483870967742,0.3870967741935484,0.3548387096774194,0.25806451612903225,0.3225806451612903,0.16129032258064516,0.5161290322580645,31
